DATABASE	FORMULA	CHARGE
cpd00680_c0	C11H12N2O5Cl2	0
cpd00681_c0	C5H13NO4S	0
cpd00682_c0	C31H47N10O22P3S2	-4
cpd00683_c0	C14H13N6O3	-1
cpd00684_c0	C6H6O4	-2
cpd00685_c0	C33H30FeN4O4	3
cpd00686_c0	C33H30FeN4O4	2
cpd00687_c0	C23H23N4O9	-1
cpd00688_c0	C2H6OS	0
cpd00689_c0	C10H13N2O4	-1
cpd00690_c0	C16H24NO5	1
cpd00691_c0	C14H20N2O16P2	-2
cpd00693_c0	C3H6O2	0
cpd00694_c0	C10H14N6O4	0
cpd00695_c0	C5H6NO4	-1
cpd00696_c0	C9H11N3O7P	-1
cpd00697_c0	C10H11N5O7P	-1
cpd00698_c0	C10H10N4O7P	-1
cpd00699_c0	C7H9O6	-1
cpd00700_c0	C10H13N5O7P	-1
cpd00701_c0	C4H10O2S2	0
cpd00702_c0	C18H24O2	0
cpd00703_c0	C10H8NO2	-1
cpd00704_c0	C10H11NO	0
cpd00705_c0	C6H10NO4	-1
cpd00706_c0	C3H3O3S	-1
cpd00707_c0	C20H31O4	-1
cpd00708_c0	C18H12O6	0
cpd00709_c0	C6H12O6	0
cpd00710_c0	C6H11O6R	0
cpd00711_c0	C10H16O	0
cpd00712_c0	C6H9O4	-1
cpd00713_c0	C10H11N5O5P	-1
cpd00714_c0	C3H6O2	0
cpd00715_c0	C8H7NO3	0
cpd00716_c0	C2H2O3R	-1
cpd00717_c0	C15H12O6	0
cpd00718_c0	C4H2O6	-2
cpd00719_c0	C16H20N5O17P2	-3
cpd00720_c0	C11H14N3O	1
cpd00721_c0	C12H14N2O2	0
cpd00722_c0	C5H9NO4	0
cpd00723_c0	C26H21N3O2	0
cpd00724_c0	C6H12O6	0
cpd00725_c0	C7H4O2Hg	-1
cpd00726_c0	C3H12N2	2
